DateTime,NEE,Rg,Tair,VPD,Hour,DoY,Year,PPFD_1_1_1,SoilT
2020-05-02T16:00:00Z,-0.06275358,31.72799,-1.2647000000000048,0.01138499,7,123,2020,54.94694,0.026100000000023254
2020-05-02T16:30:00Z,-0.2494604,58.83207,-0.8902999999999679,0.02008413,7.5,123,2020,108.3036,0.026400000000023738
2020-05-02T17:00:00Z,-0.8158094,245.5482,0.12980000000004566,0.4288166,8,123,2020,312.2055,0.03166666666669471
2020-05-02T17:30:00Z,-0.9984918,288.9047,0.8029000000000224,0.6832815,8.5,123,2020,423.3308,0.028900000000021464
2020-05-02T18:00:00Z,-1.20692,346.6823,1.65300000000002,0.9561808,9,123,2020,614.3806,0.02860000000002098
2020-05-02T18:30:00Z,-1.925977,417.6455,2.545500000000004,1.271992,9.5,123,2020,756.0117,0.027766666666688405
2020-05-02T19:00:00Z,-2.27522,482.6774,3.78490000000005,1.7981530000000001,10,123,2020,885.2925,0.028333333333364408
2020-05-02T19:30:00Z,NA,NA,NA,NA,10.5,123,2020,NA,NA
2020-05-02T20:00:00Z,NA,NA,NA,NA,11,123,2020,NA,NA
2020-05-02T20:30:00Z,-3.390197,NA,NA,5.347876,11.5,123,2020,NA,NA
2020-05-02T21:00:00Z,-3.045915,687.1361,9.134800000000041,5.679801,12,123,2020,1304.955,0.024433333333358103
2020-05-02T21:30:00Z,-2.938491,715.0188,9.773200000000031,6.496348,12.5,123,2020,1364.981,0.01776666666667855
2020-05-02T22:00:00Z,-2.805893,692.1502,10.256100000000004,7.228467,13,123,2020,1314.837,0.02526666666669068
2020-05-02T22:30:00Z,-0.8511988,250.0488,9.585100000000011,6.491267000000001,13.5,123,2020,476.9801,0.03000000000002956
2020-05-02T23:00:00Z,-1.237387,297.6509,9.782600000000002,6.629849,14,123,2020,558.2313,0.02693333333335583
2020-05-02T23:30:00Z,-1.9988,413.2804,10.420100000000048,7.3898410000000005,14.5,123,2020,780.5781,0.026400000000023738
2020-05-03T00:00:00Z,-0.794835,290.7898,10.071600000000046,7.069774,15,123,2020,543.9146,0.03140000000001919
2020-05-03T00:30:00Z,-1.30012,311.0076,10.467100000000016,7.785016000000001,15.5,123,2020,590.0003,0.02860000000002098
2020-05-03T01:00:00Z,-1.354167,365.5014,11.021800000000042,8.56895,16,123,2020,683.3755,0.02833333333334546
2020-05-03T01:30:00Z,-0.7341711,314.63,10.618100000000027,8.407777,16.5,123,2020,586.7681,0.03193333333335128
2020-05-03T02:00:00Z,-1.197936,424.8554,11.208300000000008,9.000576,17,123,2020,791.3096,0.03000000000002956
2020-05-03T02:30:00Z,-0.6256688,273.5299,11.017100000000028,8.536205,17.5,123,2020,514.8323,0.030566666666686615
2020-05-03T03:00:00Z,-1.087416,356.3309,11.33420000000001,8.541057,18,123,2020,651.9954,0.032233333333351766
2020-05-03T03:30:00Z,-0.3559309,233.5953,10.589800000000025,7.939894000000001,18.5,123,2020,427.4502,0.03166666666669471
2020-05-03T04:00:00Z,-0.3157591,193.2974,10.471900000000005,7.5549360000000005,19,123,2020,362.1843,0.03136666666669422
2020-05-03T04:30:00Z,-0.566501,252.6288,10.638900000000035,7.1401509999999995,19.5,123,2020,447.2198,0.03193333333335128
2020-05-03T05:00:00Z,-0.4409632,213.7339,9.916100000000029,6.122675,20,123,2020,371.5115,0.032766666666683854
2020-05-03T05:30:00Z,NA,143.0374,8.59390000000002,4.7465839999999995,20.5,123,2020,242.0931,0.031100000000018706
2020-05-03T06:00:00Z,0.4498709,67.82158,6.428100000000029,3.1333789999999997,21,123,2020,119.8793,0.03166666666669471
2020-05-03T06:30:00Z,0.4600981,43.16902,5.253500000000031,2.489519,21.5,123,2020,71.30153,0.032500000000027285
2020-05-03T07:00:00Z,1.102417,13.76559,3.673400000000015,1.8526759999999998,22,123,2020,25.10589,0.03333333333334091
2020-05-03T07:30:00Z,1.374269,-1.314988,2.188600000000008,1.4691390000000002,22.5,123,2020,4.70603,0.03303333333334043
2020-05-03T08:00:00Z,1.380319,-3.028653,1.3962000000000216,1.257969,23,123,2020,0.4263767,0.0336333333333414
2020-05-03T08:30:00Z,1.376269,-7.131159,0.7306000000000381,1.0393729999999999,23.5,123,2020,0.08474567,0.03306666666668434
2020-05-03T09:00:00Z,1.442048,-10.25197,0.48260000000004766,0.8928408,0,124,2020,0.06355933,0.03306666666668434
2020-05-03T09:30:00Z,1.291104,-9.128293,0.34710000000001173,0.8474629,0.5,124,2020,0.07547672,0.03306666666668434
2020-05-03T10:00:00Z,1.234522,-9.124005,0.13760000000002037,0.8172678999999999,1,124,2020,0.0807733,0.03303333333334043
2020-05-03T10:30:00Z,1.139359,-8.591367,0.030900000000031014,0.7871957,1.5,124,2020,0.06223515,0.03306666666668434
2020-05-03T11:00:00Z,1.115697,-8.718363,-0.341700000000003,0.6839369999999999,2,124,2020,0.05958682,0.03360000000001643
2020-05-03T11:30:00Z,1.198906,-8.651381,-0.6390999999999849,0.6512858,2.5,124,2020,0.05826268,0.03390000000001692
2020-05-03T12:00:00Z,1.055658,-8.134281,-0.47949999999997317,0.8334793,3,124,2020,0.08739405,0.032766666666683854
2020-05-03T12:30:00Z,1.049876,-5.690247,-0.6773999999999774,0.8397414999999999,3.5,124,2020,0.06488343,0.03390000000001692
2020-05-03T13:00:00Z,1.097172,-3.188872,-0.8252999999999702,0.8632254,4,124,2020,0.060911,0.03500000000002501
2020-05-03T13:30:00Z,1.157465,-3.312656,-1.1599999999999682,0.8170116000000001,4.5,124,2020,0.05296602,0.03500000000000606
2020-05-03T14:00:00Z,1.045296,-3.397857,-1.5191999999999553,0.7711662,5,124,2020,0.2290782,0.03280000000000882
2020-05-03T14:30:00Z,1.104249,-1.183704,-1.757000000000005,0.7202943999999999,5.5,124,2020,2.371554,0.03360000000001643
2020-05-03T15:00:00Z,1.00972,9.511431,-1.8068999999999846,0.7457935,6,124,2020,16.53732,0.034433333333349005
2020-05-03T15:30:00Z,0.8772522,40.86164,-1.7741999999999507,0.7727478000000001,6.5,124,2020,56.50018,0.03473333333334949
2020-05-03T16:00:00Z,0.4831364,90.47482,-1.2857999999999947,0.9371075999999999,7,124,2020,136.8059,0.03390000000001692
2020-05-03T16:30:00Z,0.0350775,151.7847,-0.5283999999999764,1.193197,7.5,124,2020,219.9043,0.03526666666668158
2020-05-03T17:00:00Z,-0.2722063,220.5763,0.30410000000000537,1.487116,8,124,2020,276.6745,0.03526666666668158
2020-05-03T17:30:00Z,-0.9635433,294.3238,1.0217000000000098,1.7599189999999998,8.5,124,2020,411.1964,0.03720000000002225
2020-05-03T18:00:00Z,-1.194495,369.2379,1.738300000000038,2.061427,9,124,2020,629.4983,0.03640000000001464
2020-05-03T18:30:00Z,NA,NA,NA,NA,9.5,124,2020,NA,NA
2020-05-03T19:00:00Z,NA,NA,NA,NA,10,124,2020,NA,NA
2020-05-03T19:30:00Z,NA,NA,NA,NA,10.5,124,2020,NA,NA
2020-05-03T20:00:00Z,NA,NA,NA,NA,11,124,2020,NA,NA
2020-05-03T20:30:00Z,NA,NA,NA,NA,11.5,124,2020,NA,NA
2020-05-03T21:00:00Z,-3.358528,715.2033,7.038100000000043,5.149444999999999,12,124,2020,1320.132,0.02806666666668889
2020-05-03T21:30:00Z,-3.353933,745.965,7.645800000000008,5.4322479999999995,12.5,124,2020,1382.838,0.031100000000018706
2020-05-03T22:00:00Z,-4.120474,769.0148,8.34050000000002,5.864083000000001,13,124,2020,1427.923,0.03333333333334091
2020-05-03T22:30:00Z,-4.107582,781.0876,9.200900000000047,6.848193,13.5,124,2020,1459.477,0.03750000000002274
2020-05-03T23:00:00Z,-4.382794,782.9465,9.897700000000043,7.8762229999999995,14,124,2020,1471.288,0.043066666666694196
2020-05-03T23:30:00Z,-2.078767,779.86,10.177500000000009,8.697279,14.5,124,2020,1463.699,0.05113333333334443
2020-05-04T00:00:00Z,-2.988294,762.7565,10.181500000000028,8.762253,15,124,2020,1437.822,0.05556666666668283
2020-05-04T00:30:00Z,-1.954789,735.9488,10.53000000000003,8.997525000000001,15.5,124,2020,1393.289,0.06056666666667828
2020-05-04T01:00:00Z,-3.478148,707.0222,10.80940000000004,9.140587,16,124,2020,1343.34,0.06363333333335201
2020-05-04T01:30:00Z,-2.20016,566.9272,10.697300000000041,9.020199,16.5,124,2020,1048.801,0.06390000000002753
2020-05-04T02:00:00Z,-2.388118,606.4482,10.977900000000034,9.322659999999999,17,124,2020,1144.919,0.06473333333336011
2020-05-04T02:30:00Z,-1.253593,440.9144,10.589200000000005,9.004301,17.5,124,2020,841.6962,0.06583333333334924
2020-05-04T03:00:00Z,-1.76871,495.9505,11.074400000000026,9.302646,18,124,2020,940.4051,0.06666666666668182
2020-05-04T03:30:00Z,-1.494051,442.4851,11.140000000000043,9.361260999999999,18.5,124,2020,834.22260000000006,0.06610000000002476
2020-05-04T04:00:00Z,-1.216565,396.5998,11.331100000000049,9.484149,19,124,2020,751.2328,0.06610000000002476
2020-05-04T04:30:00Z,-0.150161,297.6788,10.663800000000037,8.989353,19.5,124,2020,547.568,0.06556666666667373
2020-05-04T05:00:00Z,NA,220.9405,10.315400000000011,8.360066,20,124,2020,401.4399,0.06610000000002476
2020-05-04T05:30:00Z,NA,154.2158,9.084400000000016,6.9453949999999995,20.5,124,2020,272.8929,0.06666666666668182
2020-05-04T06:00:00Z,0.5001467,96.35639,8.295500000000004,6.022496,21,124,2020,168.7696,0.06610000000002476
2020-05-04T06:30:00Z,NA,49.16791,6.619000000000028,4.768839,21.5,124,2020,79.43709,0.06666666666668182
2020-05-04T07:00:00Z,NA,15.40797,3.9652000000000385,3.210335,22,124,2020,28.00445,0.06693333333335734
2020-05-04T07:30:00Z,1.052003,-0.6119471,2.09110000000004,2.26108,22.5,124,2020,5.979864,0.06640000000002526
2020-05-04T08:00:00Z,0.7713724,-3.424113,0.6975000000000477,1.670871,23,124,2020,0.5839504,0.06556666666669268
2020-05-04T08:30:00Z,1.119041,-6.231995,0.07840000000004466,1.404097,23.5,124,2020,0.1006356,0.06610000000002476
2020-05-04T09:00:00Z,0.9596892,-9.647538,-0.453899999999976,1.236114,0,125,2020,0.07018008,0.06473333333336011
2020-05-04T09:30:00Z,0.833856,-9.855444,-0.6753999999999678,1.163071,0.5,125,2020,0.0595869,0.0641666666666841
2020-05-04T10:00:00Z,1.045307,-9.215101,-0.6559999999999491,1.168468,1,125,2020,0.06885587,0.06443333333335961
2020-05-04T10:30:00Z,0.8996903,-9.357637,-0.7658999999999878,1.175381,1.5,125,2020,0.06620758,0.0641666666666841
2020-05-04T11:00:00Z,0.9124187,-9.044163,-1.095799999999997,1.08101,2,125,2020,0.07547663,0.0658333333333682
2020-05-04T11:30:00Z,0.8210264,-9.321199,-1.3466999999999985,1.002121,2.5,125,2020,0.04237287,0.06500000000001667
2020-05-04T12:00:00Z,0.6649281,-9.019514,-1.2670999999999708,1.0452249999999998,3,125,2020,0.05296608,0.06473333333336011
2020-05-04T12:30:00Z,0.7375579,-6.509568,-1.6626999999999725,0.9557785,3.5,125,2020,0.0516419,0.06500000000001667
2020-05-04T13:00:00Z,NA,-3.58755,-2.324299999999994,0.804606,4,125,2020,0.04502118,0.06530000000001716
2020-05-04T13:30:00Z,NA,-2.633193,-2.903099999999995,0.6745953,4.5,125,2020,0.060910980000000003,0.06526666666669219
2020-05-04T14:00:00Z,0.8978682,-2.140742,-3.0224999999999795,0.6659767,5,125,2020,0.2714509,0.06583333333334924
