datetime,air_temperature,PPFD_1_1_1,co2,ch4,tundra_ZM,fen1_ZM,degraded_ZM,water_ZM,tundra_H,fen1_H,degraded_H,water_H,tundra_Klj,fen1_Klj,degraded_Klj,water_Klj,month
2019-07-11T09:30:00Z,16.725300000000004,0.5640881,3.352836,0.013429967467672,0.9777655899524689,0.011889297747984529,0.008158686570823193,0.0021863842848688364,0.9696686118841171,0.015675248578190804,0.011544776149094105,0.0031113731674849987,0.9642151445150375,0.011952670058235526,0.021448329091072083,0.0023838719353079796,07
2019-07-11T10:00:00Z,16.56400000000002,0.174788,3.310773,0.018122311473107,0.9732119888067245,0.012339275563135743,0.009362369775772095,0.005086414748802781,0.9637919664382935,0.016380585730075836,0.012626850046217442,0.00720061082392931,0.9657834023237228,0.01194307068362832,0.01700005494058132,0.005273493938148022,07
2019-07-11T10:30:00Z,15.994000000000028,0.0927,4.125082,0.0204318764617143,0.9751857072114944,0.012275891145691276,0.00882306881248951,0.003715294413268566,0.9626858085393906,0.018204547930508852,0.013100026175379753,0.0060096485540270805,0.962902769446373,0.012040678411722183,0.02115204744040966,0.0039045674493536353,07
2019-07-11T11:00:00Z,15.1721,0.0728,3.742131,0.0172837824464396,0.9760006666183472,0.012705072527751327,0.00880463607609272,0.0024895393289625645,0.9624603763222694,0.020094573497772217,0.01326573546975851,0.004179350566118956,0.9628939852118492,0.012094854610040784,0.022428177297115326,0.0025829686783254147,07
2019-07-11T11:30:00Z,15.02940000000001,0.0715,4.943485,0.0245210640689422,0.9706298112869263,0.012954157311469316,0.013854527845978737,0.002561517641879618,0.9534489512443542,0.022906047757714987,0.019214237108826637,0.004430714994668961,0.9498138129711151,0.01446546707302332,0.03251860290765762,0.003202102496288717,07
2019-07-11T12:00:00Z,14.366700000000037,0.0993,3.812993,0.0160014198173303,0.9745936095714569,0.0131573136895895,0.009813175536692142,0.002435935428366065,0.9597156569361687,0.022024116478860378,0.014260646887123585,0.003999602515250444,0.9617046788334846,0.012357759987935424,0.023511875420808792,0.002425702288746834,07
2019-07-11T12:30:00Z,14.16560000000004,0.1734639,2.277353,NA,0.9640270695090294,0.017976919654756784,0.013399594463407993,0.00459646712988615,0.9398818984627724,0.02908165007829666,0.022596778348088264,0.008439644239842892,0.9611691981554031,0.012264159275218844,0.02338428795337677,0.0031823928002268076,07
2019-07-11T13:00:00Z,13.506799999999998,0.5932193,4.390586,0.023890913799311,0.9478145316243172,0.019453270360827446,0.028783008456230164,0.003949148464016616,0.9071550518274307,0.040520476177334785,0.04416997730731964,0.008154446724802256,0.9297997057437897,0.020463701337575912,0.04594693332910538,0.003789701499044895,07
2019-07-11T13:30:00Z,13.09190000000001,2.988608,4.7569,0.0531258902212536,0.9345349073410034,0.02331101056188345,0.03744054213166237,0.004713536472991109,0.8703790903091431,0.05560333747416735,0.0626743957400322,0.011343171820044518,0.9160930961370468,0.025077653117477894,0.05429263785481453,0.004536492750048637,07
2019-07-11T14:00:00Z,12.767300000000034,8.87975,3.993407,0.0571639695228905,0.9045806527137756,0.0330279185436666,0.055224571377038956,0.007166839670389891,0.8090085908770561,0.07997051440179348,0.09346122294664383,0.017559698317199945,0.9017734006047249,0.029645130969583988,0.06283929944038391,0.0057421536184847355,07
2019-07-11T14:30:00Z,13.424300000000017,18.89827,5.461828,NA,0.9181538056582212,0.012832585722208023,0.06602010875940323,0.002993603702634573,0.8496509753167629,0.026607136707752943,0.11746860295534134,0.006273295264691114,0.9221577532589436,0.012374924379400909,0.06295141577720642,0.0025158984353765845,07
2019-07-11T15:00:00Z,13.779700000000048,29.81457,2.72704,0.0355065576806874,0.9554267227649689,0.01527965348213911,0.02623840793967247,0.00305528671015054,0.9253487288951874,0.029876611661165953,0.0389874204993248,0.005787240108475089,0.9276737123727798,0.02042280463501811,0.04724213108420372,0.004661372164264321,07
2019-07-11T15:30:00Z,14.426600000000008,28.98697,2.469571,0.0188978515788879,0.9740976989269257,0.012881749775260687,0.010531101375818253,0.0024893813533708453,0.9625580757856369,0.018322675488889217,0.015375006012618542,0.0037442002212628722,0.9595082551240921,0.012646928895264864,0.02516978606581688,0.0026750160614028573,07
2019-07-11T16:00:00Z,14.730400000000031,29.32332,-0.1647877,NA,0.9772218614816666,0.011413440806791186,0.008951249532401562,0.0024135709973052144,0.9705016911029816,0.014427440706640482,0.011754771694540977,0.003316135029308498,0.9609960094094276,0.01232786918990314,0.02381261996924877,0.002863450557924807,07
2019-07-11T16:30:00Z,14.888800000000003,79.06232,NA,NA,0.9593637399375439,0.012606975622475147,0.025616982951760292,0.0024122552713379264,0.9293779358267784,0.025626320857554674,0.0399860218167305,0.005009714514017105,0.9170640408992767,0.024270880967378616,0.053857285529375076,0.0048079220578074455,07
2019-07-11T17:00:00Z,15.250699999999995,114.4529,-0.5317138,0.0423780636524709,0.9733947515487671,0.008616202278062701,0.016226625069975853,0.0017624079482629895,0.9621288329362869,0.015753972344100475,0.019064202904701233,0.0030529419891536236,0.9510383680462837,0.014325442723929882,0.03166752681136131,0.002968577668070793,07
2019-07-11T17:30:00Z,15.299200000000042,65.10053,1.685635,0.0232874214497616,0.9798298180103302,0.011393007123842835,0.006405473221093416,0.0023717086296528578,0.9701057225465775,0.01658828230574727,0.009451479651033878,0.0038544663693755865,0.968061164021492,0.011429587146267295,0.017863113433122635,0.0026460515800863504,07
